고유번호,호수,면,발행일,제목,소제목,게시년월일,수정년월일
12000,273,3,2019-11-25,의정포토뉴스,창조도시위원회 거점시설 현장방문,2019-11-25,
12001,273,3,2019-11-25,의정포토뉴스,행정자치위원회 현장방문 실시,2019-11-25,
12002,273,3,2019-11-25,의정포토뉴스,부산진구 다행복교육지구 2기 학생모의 의회,2019-11-25,
12003,273,3,2019-11-25,제296회 임시회 구정질문 문답 주요내용,,2019-11-25,
11999,273,3,2019-11-25,의정포토뉴스,2019년도 하반기 의원 및 직원 실무연수 실시,2019-11-25,
11992,273,2,2019-11-25,이웃사랑 온도 100도까지 올리자 ,희망2020나눔캠페인 11월 20일∼1월 31일까지,2019-11-25,
11993,273,2,2019-11-25,부전시장 주차장 증축 주차걱정 끝,주차면수 종전 2배로 확충 … 230대 주차 가능,2019-11-25,
11994,273,2,2019-11-25,퇴원 어르신들 의료와 돌봄 지원,장기입원 의료수급자 재가의료급여 시범 추진,2019-11-25,
11995,273,2,2019-11-25,부산진구 청년창업스쿨 성공적,위워크에서 스타트업/비즈니스모델 등 4회 특강,2019-11-25,
11996,273,2,2019-11-25,유니세프와 함께 아우인형 만들기,"부산진구자원봉사센터, 매주 수요일 부암1동에서 운영",2019-11-25,
11997,273,2,2019-11-25,청소년 법률강좌 솔로몬 아카데미 운영,중학생들 대상 법조인 역할/SNS 범죄 등 특강,2019-11-25,
11998,273,3,2019-11-25,행정사무감사 및 2020년도 예산안 심사,제297회 부산진구의회 정례회,2019-11-25,
12004,273,3,2019-11-25,제296회 임시회 3차 본회의 5분 자유발언 주요 내용,,2019-11-25,
12005,273,3,2019-11-25,제297회 정례회 1차 본회의 5분 자유발언 주요 내용,,2019-11-25,
12006,273,4,2019-11-25,애들아 힘내! 수능 격려/봉사 만점,,2019-11-25,2019-12-11
11989,273,1,2019-11-25,서면은 지금 트리축제 한창,,2019-11-25,2019-11-25
11990,273,1,2019-11-25,400명의 아이들 최고 행복한 날,행복충전 가족콘서트 12월 17일 구청 대강당에서 개최,2019-11-25,
11991,273,2,2019-11-25,부산진구는 교육도시로 도약 힘차게 선언,교육비전 선포 … 다행복교육 한마당 성대하게 개최,2019-11-25,
11987,272,8,2019-10-25,부산진구어린이청소년도서관 이달의 추천도서(10월),청소년들에게 건네는 응원의 외침 체리새우 …,2019-10-25,
11988,273,1,2019-11-25,아세안 10개국 대표음식 맛보세요,한/아세안 푸드스트리트 11월 27일까지 놀이마루에서 개최,2019-11-25,
11985,272,8,2019-10-25,선물 같았던 한국영화 상영회,부산국제영화제(BIFF) 공식행사,2019-10-25,
11986,272,8,2019-10-25,포토 에세이,퉁퉁마디의 외침,2019-10-25,
11971,272,5,2019-10-25,복지관 소식,,2019-10-25,
11972,272,5,2019-10-25,지방분권 촉구 걷기대회 ,11월 17일 어린이대공원,2019-10-25,
11970,272,5,2019-10-25,산불 발생 주요 원인은 입산자 실화,산불조심기간 11월 1일부터 내년 5월 15일까지,2019-10-25,
11973,272,5,2019-10-25,퇴직교직원센터에 자원봉사캠프 설치,,2019-10-25,
11974,272,5,2019-10-25,규제혁신 소식,,2019-10-25,
11983,272,8,2019-10-25,달빛/별빛/노래 어울린 행복한 가을밤,백양산 숲길 걷기대회/산사음악회 성황리 종료,2019-10-25,
11984,272,8,2019-10-25,국보급 고려가요 정과정곡을 찾아서 ,동길산 시인이 쓰는 부산진이야기 58,2019-10-25,
11981,272,7,2019-10-25,김다희 시인의 꽃보다 사람 65,일인 다역의 초능력자 - 김유석 목공예 작가,2019-10-25,
11982,272,7,2019-10-25,섭취량을 줄여야 할 트랜스지방,독자칼럼,2019-10-25,
11975,272,6,2019-10-25,전례없는 교육 지원 교육도시 부산진구 실감,,2019-10-25,
